,k,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_selection__k_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10,,17.72283854484558,0.4129038757078006,0.0023925304412841797,0.0004888114900024625,11,{'feature_selection__k_features': 11},0.9058823529411765,0.9147058823529411,0.9088235294117647,0.9205882352941176,0.9058823529411765,0.9111764705882353,0.005703152773430954,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,,20.774878883361815,0.8237762702474446,0.002792167663574219,0.0003992565640913159,12,{'feature_selection__k_features': 12},0.9029411764705882,0.9117647058823529,0.9117647058823529,0.9205882352941176,0.9088235294117647,0.9111764705882353,0.005703152773430954,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,,23.73595666885376,0.6719298004796544,0.0031917572021484377,0.0003982560502123855,13,{'feature_selection__k_features': 13},0.9029411764705882,0.9176470588235294,0.9088235294117647,0.9264705882352942,0.9029411764705882,0.911764705882353,0.009112901991076278,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,,25.94726905822754,1.293011430456357,0.003183412551879883,0.0009776651385244362,14,{'feature_selection__k_features': 14},0.9117647058823529,0.9176470588235294,0.9117647058823529,0.9294117647058824,0.9058823529411765,0.9152941176470589,0.007979211744853268,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,2.0,1.4541139602661133,0.051837553231832936,0.0014041900634765626,0.0004823975282787681,1,{'feature_selection__k_features': 1},0.36176470588235293,0.34705882352941175,0.32941176470588235,0.3764705882352941,0.40588235294117647,0.3641176470588235,0.02606884683077687,14,0.6977941176470588,0.7,0.7058823529411765,0.6970588235294117,0.6926470588235294,0.6986764705882352,0.004322628957852689
1,,3.030699300765991,0.1769337050578363,0.0013964176177978516,0.00048890860496139,2,{'feature_selection__k_features': 2},0.6352941176470588,0.7,0.7441176470588236,0.6941176470588235,0.6735294117647059,0.6894117647058824,0.03551889209282478,13,0.8654411764705883,0.8485294117647059,0.8852941176470588,0.8698529411764706,0.8757352941176471,0.868970588235294,0.012192586663631835
2,,5.1318964004516605,0.36967580510360765,0.0014004707336425781,0.00048575228348811,3,{'feature_selection__k_features': 3},0.7852941176470588,0.8117647058823529,0.861764705882353,0.8205882352941176,0.8294117647058824,0.8217647058823528,0.024859466598959365,12,0.9205882352941176,0.9102941176470588,0.9426470588235294,0.9198529411764705,0.9294117647058824,0.9245588235294118,0.010882352941176478
3,,6.4754918098449705,0.259486136743255,0.0018027782440185546,0.0004030998301180555,4,{'feature_selection__k_features': 4},0.8205882352941176,0.888235294117647,0.8852941176470588,0.8558823529411764,0.8264705882352941,0.8552941176470588,0.02835757833692694,11,0.9426470588235294,0.9367647058823529,0.9573529411764706,0.9375,0.9441176470588235,0.9436764705882353,0.007405693124714233
4,,8.682399034500122,0.477501018643049,0.001795339584350586,0.0007466207808748833,5,{'feature_selection__k_features': 5},0.8588235294117647,0.9117647058823529,0.8911764705882353,0.8852941176470588,0.8647058823529412,0.8823529411764707,0.019061002054140772,9,0.9477941176470588,0.9352941176470588,0.9580882352941177,0.95,0.9588235294117647,0.95,0.008537014866882362
5,,10.11536431312561,0.35677913063103395,0.0021930694580078124,0.00039727691770465365,6,{'feature_selection__k_features': 6},0.861764705882353,0.9176470588235294,0.9,0.9058823529411765,0.861764705882353,0.8894117647058823,0.023278069338128652,8,0.9522058823529411,0.9470588235294117,0.9595588235294118,0.9544117647058824,0.9580882352941177,0.954264705882353,0.004445946017009141
6,,12.847254133224487,0.7999648822684985,0.0025934219360351563,0.0004898059265992451,7,{'feature_selection__k_features': 7},0.8529411764705882,0.9029411764705882,0.8941176470588236,0.9,0.8588235294117647,0.8817647058823528,0.021404006351365034,10,0.9529411764705882,0.9433823529411764,0.9573529411764706,0.9536764705882353,0.9573529411764706,0.9529411764705882,0.005115449156154755
7,,14.976761198043823,0.9224128752008259,0.0028081893920898437,0.0004065905363522002,8,{'feature_selection__k_features': 8},0.8705882352941177,0.9029411764705882,0.9058823529411765,0.9,0.8735294117647059,0.8905882352941177,0.0152714764538202,5,0.9573529411764706,0.9426470588235294,0.9595588235294118,0.9566176470588236,0.9625,0.955735294117647,0.0068567901334557636
8,,17.462442922592164,0.6078158367695614,0.003990650177001953,0.003513011117429116,9,{'feature_selection__k_features': 9},0.8794117647058823,0.9235294117647059,0.9205882352941176,0.9,0.8647058823529412,0.8976470588235295,0.022888325245110253,1,0.9551470588235295,0.9470588235294117,0.9602941176470589,0.9588235294117647,0.9625,0.956764705882353,0.005411285144992403
9,,19.255939149856566,0.8098515875762752,0.0031900405883789062,0.0007455254347676225,10,{'feature_selection__k_features': 10},0.8794117647058823,0.9205882352941176,0.9147058823529411,0.9029411764705882,0.8676470588235294,0.8970588235294116,0.020377068324339713,2,0.9573529411764706,0.9485294117647058,0.9595588235294118,0.9573529411764706,0.9580882352941177,0.9561764705882354,0.003907450075172507
10,,20.983912897109985,0.962212317856641,0.0029914379119873047,0.00063082649166869,11,{'feature_selection__k_features': 11},0.8794117647058823,0.9088235294117647,0.9058823529411765,0.9,0.8705882352941177,0.8929411764705882,0.015180574000663458,3,0.9551470588235295,0.9492647058823529,0.9588235294117647,0.9573529411764706,0.9625,0.9566176470588236,0.004387186438287168
11,,22.422276544570924,0.720379216381574,0.0035966873168945313,0.0008148022329083866,12,{'feature_selection__k_features': 12},0.8735294117647059,0.9088235294117647,0.9058823529411765,0.9058823529411765,0.861764705882353,0.8911764705882351,0.01959803676347961,4,0.9551470588235295,0.9463235294117647,0.9551470588235295,0.9580882352941177,0.9639705882352941,0.955735294117647,0.005703152773430992
12,,25.586694478988647,1.2287503303231233,0.0033904552459716798,0.000488402483835603,13,{'feature_selection__k_features': 13},0.8794117647058823,0.9029411764705882,0.9,0.9058823529411765,0.861764705882353,0.8899999999999999,0.01690600925082342,6,0.9558823529411765,0.9463235294117647,0.9602941176470589,0.9558823529411765,0.961764705882353,0.9560294117647059,0.00539126552347748
13,,28.89427752494812,1.74186780957631,0.003801918029785156,0.0011867473685573016,14,{'feature_selection__k_features': 14},0.8794117647058823,0.9029411764705882,0.9,0.9058823529411765,0.861764705882353,0.8899999999999999,0.01690600925082342,6,0.9566176470588236,0.9455882352941176,0.9595588235294118,0.9522058823529411,0.961764705882353,0.9551470588235293,0.005752237416355306
